201,true,null
202,true,null
203,false,2025-11-27T12:17:13
204,false,2025-11-28T12:19:23
205,true,null
206,true,null
207,true,null
208,true,null
401,true,null
402,true,null
403,true,null
404,true,null
405,true,null
406,true,null
407,true,null
408,true,null
101,true,null
102,true,null
103,true,null
104,true,null
105,true,null
106,true,null
107,true,null
108,true,null
301,true,null
302,true,null
303,true,null
304,true,null
305,true,null
306,true,null
307,true,null
308,true,null
501,true,null
502,true,null
503,true,null
504,true,null
505,true,null
506,true,null
507,true,null
508,true,null
